"CODE","LABEL","NUTS_LEVEL","COUNTRY","OFFICIAL_SORTING_ORDER_OF_COUNTRIES"
"ITD57","Ravenna",3,"IT",11
"ITD58","Forlì-Cesena",3,"IT",11
"ITD59","Rimini",3,"IT",11
"ITE","CENTRO (I)",1,"IT",11
"ITE1","Toscana",2,"IT",11
"ITE11","Massa-Carrara",3,"IT",11
"ITE12","Lucca",3,"IT",11
"ITE13","Pistoia",3,"IT",11
"ITE14","Firenze",3,"IT",11
"ITE15","Prato",3,"IT",11
"ITE16","Livorno",3,"IT",11
"ITE17","Pisa",3,"IT",11
"ITE18","Arezzo",3,"IT",11
"ITE19","Siena",3,"IT",11
"ITE1A","Grosseto",3,"IT",11
"ITE2","Umbria",2,"IT",11
"ITE21","Perugia",3,"IT",11
"ITE22","Terni",3,"IT",11
"ITE3","Marche",2,"IT",11
"ITE31","Pesaro e Urbino",3,"IT",11
"ITE32","Ancona",3,"IT",11
"ITE33","Macerata",3,"IT",11
"ITE34","Ascoli Piceno",3,"IT",11
"ITE4","Lazio",2,"IT",11
"ITE41","Viterbo",3,"IT",11
"ITE42","Rieti",3,"IT",11
"ITE43","Roma",3,"IT",11
"ITE44","Latina",3,"IT",11
"ITE45","Frosinone",3,"IT",11
"ITF","SUD",1,"IT",11
"ITF1","Abruzzo",2,"IT",11
"ITF11","L'Aquila",3,"IT",11
"ITF12","Teramo",3,"IT",11
"ITF13","Pescara",3,"IT",11
"ITF14","Chieti",3,"IT",11
"ITF2","Molise",2,"IT",11
"ITF21","Isernia",3,"IT",11
"ITF22","Campobasso",3,"IT",11
"ITF3","Campania",2,"IT",11
"ITF31","Caserta",3,"IT",11
"ITF32","Benevento",3,"IT",11
"ITF33","Napoli",3,"IT",11
"ITF34","Avellino",3,"IT",11
"ITF35","Salerno",3,"IT",11
"ITF4","Puglia",2,"IT",11
"ITF41","Foggia",3,"IT",11
"ITF42","Bari",3,"IT",11
"ITF43","Taranto",3,"IT",11
"ITF44","Brindisi",3,"IT",11
"ITF45","Lecce",3,"IT",11
"ITF5","Basilicata",2,"IT",11
"ITF51","Potenza",3,"IT",11
"ITF52","Matera",3,"IT",11
"ITF6","Calabria",2,"IT",11
"ITF61","Cosenza",3,"IT",11
"ITF62","Crotone",3,"IT",11
"ITF63","Catanzaro",3,"IT",11
"ITF64","Vibo Valentia",3,"IT",11
"ITF65","Reggio di Calabria",3,"IT",11
"ITG","ISOLE",1,"IT",11
"ITG1","Sicilia",2,"IT",11
"ITG11","Trapani",3,"IT",11
"ITG12","Palermo",3,"IT",11
"ITG13","Messina",3,"IT",11
"ITG14","Agrigento",3,"IT",11
"ITG15","Caltanissetta",3,"IT",11
"ITG16","Enna",3,"IT",11
"ITG17","Catania",3,"IT",11
"ITG18","Ragusa",3,"IT",11
"ITG19","Siracusa",3,"IT",11
"ITG2","Sardegna",2,"IT",11
"ITG25","Sassari",3,"IT",11
"ITG26","Nuoro",3,"IT",11
"ITG27","Cagliari",3,"IT",11
"ITG28","Oristano",3,"IT",11
"ITG29","Olbia-Tempio",3,"IT",11
"ITG2A","Ogliastra",3,"IT",11
"ITG2B","Medio Campidano",3,"IT",11
"ITG2C","Carbonia-Iglesias",3,"IT",11
"ITZ","EXTRA-REGIO",1,"IT",11
"ITZZ","Extra-Regio",2,"IT",11
"ITZZZ","Extra-Regio",3,"IT",11
"CY","ΚΥΠΡΟΣ / KIBRIS",0,"CY",12
"CY0","ΚΥΠΡΟΣ / KIBRIS",1,"CY",12
"CY00","Κύπρος / Kıbrıs",2,"CY",12
"CY000","Κύπρος / Kıbrıs",3,"CY",12
"CYZ","EXTRA-REGIO",1,"CY",12
"CYZZ","Extra-Regio",2,"CY",12
"CYZZZ","Extra-Regio",3,"CY",12
"LV","LATVIJA",0,"LV",13
"LV0","LATVIJA",1,"LV",13
"LV00","Latvija",2,"LV",13
"LV003","Kurzeme",3,"LV",13
"LV005","Latgale",3,"LV",13
"LV006","Rīga",3,"LV",13
"LV007","Pierīga",3,"LV",13
"LV008","Vidzeme",3,"LV",13
"LV009","Zemgale",3,"LV",13
"LVZ","EXTRA-REGIO",1,"LV",13
"LVZZ","Extra-Regio",2,"LV",13
"LVZZZ","Extra-Regio",3,"LV",13
"LT","LIETUVA",0,"LT",14
"LT0","LIETUVA",1,"LT",14
"LT00","Lietuva",2,"LT",14
"LT001","Alytaus apskritis",3,"LT",14
"LT002","Kauno apskritis",3,"LT",14
"LT003","Klaipėdos apskritis",3,"LT",14
"LT004","Marijampolės apskritis",3,"LT",14
"LT005","Panevėžio apskritis",3,"LT",14
"LT006","Šiaulių apskritis",3,"LT",14
"LT007","Tauragės apskritis",3,"LT",14
"LT008","Telšių apskritis",3,"LT",14
"LT009","Utenos apskritis",3,"LT",14
"LT00A","Vilniaus apskritis",3,"LT",14
"LTZ","EXTRA-REGIO",1,"LT",14
"LTZZ","Extra-Regio",2,"LT",14
"LTZZZ","Extra-Regio",3,"LT",14
"LU","LUXEMBOURG (GRAND-DUCHÉ)",0,"LU",15
"LU0","LUXEMBOURG (GRAND-DUCHÉ)",1,"LU",15
"LU00","Luxembourg (Grand-Duché)",2,"LU",15
"LU000","Luxembourg (Grand-Duché)",3,"LU",15
"LUZ","EXTRA-REGIO",1,"LU",15
"LUZZ","Extra-Regio",2,"LU",15
"LUZZZ","Extra-Regio",3,"LU",15
"HU","MAGYARORSZÁG",0,"HU",16
"HU1","KÖZÉP-MAGYARORSZÁG",1,"HU",16
"HU10","Közép-Magyarország",2,"HU",16
"HU101","Budapest",3,"HU",16
"HU102","Pest",3,"HU",16
"HU2","DUNÁNTÚL",1,"HU",16
"HU21","Közép-Dunántúl",2,"HU",16
"HU211","Fejér",3,"HU",16
"HU212","Komárom-Esztergom",3,"HU",16
"HU213","Veszprém",3,"HU",16
"HU22","Nyugat-Dunántúl",2,"HU",16
"HU221","Győr-Moson-Sopron",3,"HU",16
"HU222","Vas",3,"HU",16
"HU223","Zala",3,"HU",16
"HU23","Dél-Dunántúl",2,"HU",16
"HU231","Baranya",3,"HU",16
"HU232","Somogy",3,"HU",16
"HU233","Tolna",3,"HU",16
"HU3","ALFÖLD ÉS ÉSZAK",1,"HU",16
"HU31","Észak-Magyarország",2,"HU",16
"HU311","Borsod-Abaúj-Zemplén",3,"HU",16
"HU312","Heves",3,"HU",16
"HU313","Nógrád",3,"HU",16
"HU32","Észak-Alföld",2,"HU",16
"HU321","Hajdú-Bihar",3,"HU",16
"HU322","Jász-Nagykun-Szolnok",3,"HU",16
"HU323","Szabolcs-Szatmár-Bereg",3,"HU",16
"HU33","Dél-Alföld",2,"HU",16
"HU331","Bács-Kiskun",3,"HU",16
"HU332","Békés",3,"HU",16
"HU333","Csongrád",3,"HU",16
"HUZ","EXTRA-REGIO",1,"HU",16
"HUZZ","Extra-Regio",2,"HU",16
"HUZZZ","Extra-Regio",3,"HU",16
"MT","MALTA",0,"MT",17
"MT0","MALTA",1,"MT",17
"MT00","Malta",2,"MT",17
"MT001","Malta",3,"MT",17
"MT002","Gozo and Comino / Għawdex u Kemmuna",3,"MT",17
"MTZ","EXTRA-REGIO",1,"MT",17
"MTZZ","Extra-Regio",2,"MT",17
"MTZZZ","Extra-Regio",3,"MT",17
"NL","NEDERLAND ",0,"NL",18
"NL1","NOORD-NEDERLAND",1,"NL",18
"NL11","Groningen",2,"NL",18
"NL111","Oost-Groningen",3,"NL",18
"NL112","Delfzijl en omgeving",3,"NL",18
"NL113","Overig Groningen",3,"NL",18
"NL12","Friesland (NL)",2,"NL",18
"NL121","Noord-Friesland",3,"NL",18
"NL122","Zuidwest-Friesland",3,"NL",18
"NL123","Zuidoost-Friesland",3,"NL",18
"NL13","Drenthe",2,"NL",18
"NL131","Noord-Drenthe",3,"NL",18
"NL132","Zuidoost-Drenthe",3,"NL",18
"NL133","Zuidwest-Drenthe",3,"NL",18
"NL2","OOST-NEDERLAND",1,"NL",18
"NL21","Overijssel",2,"NL",18
"NL211","Noord-Overijssel",3,"NL",18
"NL212","Zuidwest-Overijssel",3,"NL",18
"NL213","Twente",3,"NL",18
"NL22","Gelderland",2,"NL",18
"NL221","Veluwe",3,"NL",18
"NL224","Zuidwest-Gelderland",3,"NL",18
"NL225","Achterhoek",3,"NL",18
"NL226","Arnhem/Nijmegen",3,"NL",18
"NL23","Flevoland",2,"NL",18
"NL230","Flevoland",3,"NL",18
"NL3","WEST-NEDERLAND",1,"NL",18
"NL31","Utrecht",2,"NL",18
"NL310","Utrecht",3,"NL",18
"NL32","Noord-Holland",2,"NL",18
"NL321","Kop van Noord-Holland",3,"NL",18
"NL322","Alkmaar en omgeving",3,"NL",18
"NL323","IJmond",3,"NL",18
"NL324","Agglomeratie Haarlem",3,"NL",18
"NL325","Zaanstreek",3,"NL",18
"NL326","Groot-Amsterdam",3,"NL",18
"NL327","Het Gooi en Vechtstreek",3,"NL",18
"NL33","Zuid-Holland",2,"NL",18
"NL331","Agglomeratie Leiden en Bollenstreek",3,"NL",18
"NL332","Agglomeratie 's-Gravenhage",3,"NL",18
"NL333","Delft en Westland",3,"NL",18
"NL334","Oost-Zuid-Holland",3,"NL",18
"NL335","Groot-Rijnmond",3,"NL",18
"NL336","Zuidoost-Zuid-Holland",3,"NL",18
"NL34","Zeeland",2,"NL",18
"NL341","Zeeuwsch-Vlaanderen",3,"NL",18
"NL342","Overig Zeeland",3,"NL",18
"NL4","ZUID-NEDERLAND",1,"NL",18
"NL41","Noord-Brabant",2,"NL",18
"NL411","West-Noord-Brabant",3,"NL",18
"NL412","Midden-Noord-Brabant",3,"NL",18
"NL413","Noordoost-Noord-Brabant",3,"NL",18
"NL414","Zuidoost-Noord-Brabant",3,"NL",18
"NL42","Limburg (NL)",2,"NL",18
"NL421","Noord-Limburg",3,"NL",18
"NL422","Midden-Limburg",3,"NL",18
"NL423","Zuid-Limburg",3,"NL",18
"NLZ","EXTRA-REGIO",1,"NL",18
"NLZZ","Extra-Regio",2,"NL",18
"NLZZZ","Extra-Regio",3,"NL",18
"AT","ÖSTERREICH",0,"AT",19
"AT1","OSTÖSTERREICH",1,"AT",19
"AT11","Burgenland (A)",2,"AT",19
"AT111","Mittelburgenland",3,"AT",19
"AT112","Nordburgenland",3,"AT",19
"AT113","Südburgenland",3,"AT",19
"AT12","Niederösterreich",2,"AT",19
"AT121","Mostviertel-Eisenwurzen",3,"AT",19
"AT122","Niederösterreich-Süd",3,"AT",19
"AT123","Sankt Pölten",3,"AT",19
"AT124","Waldviertel",3,"AT",19
"AT125","Weinviertel",3,"AT",19
"AT126","Wiener Umland/Nordteil",3,"AT",19
"AT127","Wiener Umland/Südteil",3,"AT",19
"AT13","Wien",2,"AT",19
"AT130","Wien",3,"AT",19
"AT2","SÜDÖSTERREICH",1,"AT",19
"AT21","Kärnten",2,"AT",19
"AT211","Klagenfurt-Villach",3,"AT",19
"AT212","Oberkärnten",3,"AT",19
"AT213","Unterkärnten",3,"AT",19
"AT22","Steiermark",2,"AT",19
"AT221","Graz",3,"AT",19
"AT222","Liezen",3,"AT",19
"AT223","Östliche Obersteiermark",3,"AT",19
"AT224","Oststeiermark",3,"AT",19
"AT225","West- und Südsteiermark",3,"AT",19
"AT226","Westliche Obersteiermark",3,"AT",19
"AT3","WESTÖSTERREICH",1,"AT",19
"AT31","Oberösterreich",2,"AT",19
"AT311","Innviertel",3,"AT",19
"AT312","Linz-Wels",3,"AT",19
"AT313","Mühlviertel",3,"AT",19
"AT314","Steyr-Kirchdorf",3,"AT",19
"AT315","Traunviertel",3,"AT",19
"AT32","Salzburg",2,"AT",19
"AT321","Lungau",3,"AT",19
"AT322","Pinzgau-Pongau",3,"AT",19
"AT323","Salzburg und Umgebung",3,"AT",19
"AT33","Tirol",2,"AT",19
"AT331","Außerfern",3,"AT",19
"AT332","Innsbruck",3,"AT",19
"AT333","Osttirol",3,"AT",19
"AT334","Tiroler Oberland",3,"AT",19
"AT335","Tiroler Unterland",3,"AT",19
"AT34","Vorarlberg",2,"AT",19
"AT341","Bludenz-Bregenzer Wald",3,"AT",19
"AT342","Rheintal-Bodenseegebiet",3,"AT",19
"ATZ","EXTRA-REGIO",1,"AT",19
"ATZZ","Extra-Regio",2,"AT",19
"ATZZZ","Extra-Regio",3,"AT",19
"PL","POLSKA",0,"PL",20
"PL1","REGION CENTRALNY",1,"PL",20
"PL11","Łódzkie",2,"PL",20
"PL113","Miasto Łódź",3,"PL",20
"PL114","Łódzki",3,"PL",20
"PL115","Piotrkowski",3,"PL",20
"PL116","Sieradzki",3,"PL",20
"PL117","Skierniewicki",3,"PL",20
"PL12","Mazowieckie",2,"PL",20
"PL121","Ciechanowsko-płocki",3,"PL",20
"PL122","Ostrołęcko-siedlecki",3,"PL",20
"PL127","Miasto Warszawa",3,"PL",20
"PL128","Radomski",3,"PL",20
"PL129","Warszawski-wschodni",3,"PL",20
"PL12A","Warszawski-zachodni",3,"PL",20
"PL2","REGION POŁUDNIOWY",1,"PL",20
"PL21","Małopolskie",2,"PL",20
"PL213","Miasto Kraków",3,"PL",20
"PL214","Krakowski",3,"PL",20
"PL215","Nowosądecki",3,"PL",20
"PL216","Oświęcimski",3,"PL",20
"PL217","Tarnowski",3,"PL",20
"PL22","Śląskie",2,"PL",20
"PL224","Częstochowski",3,"PL",20
"PL225","Bielski",3,"PL",20
"PL227","Rybnicki",3,"PL",20
"PL228","Bytomski",3,"PL",20
"PL229","Gliwicki",3,"PL",20
"PL22A","Katowicki",3,"PL",20
"PL22B","Sosnowiecki",3,"PL",20
"PL22C","Tyski",3,"PL",20
"PL3","REGION WSCHODNI",1,"PL",20
"PL31","Lubelskie",2,"PL",20
"PL311","Bialski",3,"PL",20
"PL312","Chełmsko-zamojski",3,"PL",20
"PL314","Lubelski",3,"PL",20
"PL315","Puławski",3,"PL",20
"PL32","Podkarpackie",2,"PL",20
"PL323","Krośnieński",3,"PL",20
"PL324","Przemyski",3,"PL",20
"PL325","Rzeszowski",3,"PL",20
"PL326","Tarnobrzeski",3,"PL",20
"PL33","Świętokrzyskie",2,"PL",20
"PL331","Kielecki",3,"PL",20
"PL332","Sandomiersko-jędrzejowski",3,"PL",20
"PL34","Podlaskie",2,"PL",20
"PL343","Białostocki",3,"PL",20
"PL344","Łomżyński",3,"PL",20
"PL345","Suwalski",3,"PL",20
"PL4","REGION PÓŁNOCNO-ZACHODNI",1,"PL",20
"PL41","Wielkopolskie",2,"PL",20
"PL411","Pilski",3,"PL",20
"PL414","Koniński",3,"PL",20
"PL415","Miasto Poznań",3,"PL",20
"PL416","Kaliski",3,"PL",20
"PL417","Leszczyński",3,"PL",20
"PL418","Poznański",3,"PL",20
"PL42","Zachodniopomorskie",2,"PL",20
"PL422","Koszaliński",3,"PL",20
"PL423","Stargardzki",3,"PL",20
"PL424","Miasto Szczecin",3,"PL",20
"PL425","Szczeciński",3,"PL",20
"PL43","Lubuskie",2,"PL",20
"PL431","Gorzowski",3,"PL",20
"PL432","Zielonogórski",3,"PL",20
"PL5","REGION POŁUDNIOWO-ZACHODNI",1,"PL",20
"PL51","Dolnośląskie",2,"PL",20
"PL514","Miasto Wrocław",3,"PL",20
"PL515","Jeleniogórski",3,"PL",20
"PL516","Legnicko-Głogowski",3,"PL",20
"PL517","Wałbrzyski",3,"PL",20
"PL518","Wrocławski",3,"PL",20
"PL52","Opolskie",2,"PL",20
"PL521","Nyski",3,"PL",20
"PL522","Opolski",3,"PL",20
"PL6","REGION PÓŁNOCNY",1,"PL",20
"PL61","Kujawsko-Pomorskie",2,"PL",20
"PL613","Bydgosko-Toruński",3,"PL",20
"PL614","Grudziądzki",3,"PL",20
"PL615","Włocławski",3,"PL",20
"PL62","Warmińsko-Mazurskie",2,"PL",20
"PL621","Elbląski",3,"PL",20
"PL622","Olsztyński",3,"PL",20
"PL623","Ełcki",3,"PL",20
"PL63","Pomorskie",2,"PL",20
"PL631","Słupski",3,"PL",20
"PL633","Trójmiejski",3,"PL",20
"PL634","Gdański",3,"PL",20
"PL635","Starogardzki",3,"PL",20
"PLZ","EXTRA-REGIO",1,"PL",20
"PLZZ","Extra-Regio",2,"PL",20
"PLZZZ","Extra-Regio",3,"PL",20
"PT","PORTUGAL",0,"PT",21
"PT1","CONTINENTE",1,"PT",21
"PT11","Norte",2,"PT",21
"PT111","Minho-Lima",3,"PT",21
"PT112","Cávado",3,"PT",21
"PT113","Ave",3,"PT",21
"PT114","Grande Porto",3,"PT",21
"PT115","Tâmega",3,"PT",21
"PT116","Entre Douro e Vouga",3,"PT",21
"PT117","Douro",3,"PT",21
"PT118","Alto Trás-os-Montes",3,"PT",21
"PT15","Algarve",2,"PT",21
"PT150","Algarve",3,"PT",21
"PT16","Centro (P)",2,"PT",21
"PT161","Baixo Vouga",3,"PT",21
"PT162","Baixo Mondego",3,"PT",21
"PT163","Pinhal Litoral",3,"PT",21
"PT164","Pinhal Interior Norte",3,"PT",21
"PT165","Dâo-Lafôes",3,"PT",21
"PT166","Pinhal Interior Sul",3,"PT",21
"PT167","Serra da Estrela",3,"PT",21
"PT168","Beira Interior Norte",3,"PT",21
"PT169","Beira Interior Sul",3,"PT",21
"PT16A","Cova da Beira",3,"PT",21
"PT16B","Oeste",3,"PT",21
"PT16C","Médio Tejo",3,"PT",21
"PT17","Lisboa",2,"PT",21
"PT171","Grande Lisboa",3,"PT",21
"PT172","Península de Setúbal",3,"PT",21
"PT18","Alentejo",2,"PT",21
"PT181","Alentejo Litoral",3,"PT",21
"PT182","Alto Alentejo",3,"PT",21
"PT183","Alentejo Central",3,"PT",21
"PT184","Baixo Alentejo",3,"PT",21
"PT185","Lezíria do Tejo",3,"PT",21
"PT2","Região Autónoma dos AÇORES",1,"PT",21
"PT20","Região Autónoma dos Açores",2,"PT",21
"PT200","Região Autónoma dos Açores",3,"PT",21
"PT3","Região Autónoma da MADEIRA",1,"PT",21
"PT30","Região Autónoma da Madeira",2,"PT",21
"PT300","Região Autónoma da Madeira",3,"PT",21
"PTZ","EXTRA-REGIO",1,"PT",21
"PTZZ","Extra-Regio",2,"PT",21
"PTZZZ","Extra-Regio",3,"PT",21
"RO","ROMÂNIA",0,"RO",22
"RO1","Macroregiunea unu",1,"RO",22
"RO11","Nord-Vest",2,"RO",22
"RO111","Bihor",3,"RO",22
"RO112","Bistriţa-Năsăud",3,"RO",22
"RO113","Cluj",3,"RO",22
"RO114","Maramureş",3,"RO",22
"RO115","Satu Mare",3,"RO",22
"RO116","Sălaj",3,"RO",22
"RO12","Centru",2,"RO",22
"RO121","Alba",3,"RO",22
"RO122","Braşov",3,"RO",22
"RO123","Covasna",3,"RO",22
"RO124","Harghita",3,"RO",22
"RO125","Mureş",3,"RO",22
"RO126","Sibiu",3,"RO",22
"RO2","Macroregiunea doi",1,"RO",22
"RO21","Nord-Est",2,"RO",22
"RO211","Bacău",3,"RO",22
"RO212","Botoşani",3,"RO",22
"RO213","Iaşi",3,"RO",22
"RO214","Neamţ",3,"RO",22
"RO215","Suceava",3,"RO",22
"RO216","Vaslui",3,"RO",22
"RO22","Sud-Est",2,"RO",22
"RO221","Brăila",3,"RO",22
"RO222","Buzău",3,"RO",22
"RO223","Constanţa",3,"RO",22
"RO224","Galaţi",3,"RO",22
"RO225","Tulcea",3,"RO",22
"RO226","Vrancea",3,"RO",22
"RO3","Macroregiunea trei",1,"RO",22
"RO31","Sud - Muntenia",2,"RO",22
"RO311","Argeş",3,"RO",22
"RO312","Călăraşi",3,"RO",22
"RO313","Dâmboviţa",3,"RO",22
"RO314","Giurgiu",3,"RO",22
"RO315","Ialomiţa",3,"RO",22
"RO316","Prahova",3,"RO",22
"RO317","Teleorman",3,"RO",22
"RO32","Bucureşti - Ilfov",2,"RO",22
"RO321","Bucureşti",3,"RO",22
"RO322","Ilfov",3,"RO",22
"RO4","Macroregiunea patru",1,"RO",22
"RO41","Sud-Vest Oltenia",2,"RO",22
"RO411","Dolj",3,"RO",22
"RO412","Gorj",3,"RO",22
"RO413","Mehedinţi",3,"RO",22
"RO414","Olt",3,"RO",22
"RO415","Vâlcea",3,"RO",22
"RO42","Vest",2,"RO",22
"RO421","Arad",3,"RO",22
"RO422","Caraş-Severin",3,"RO",22
"RO423","Hunedoara",3,"RO",22
"RO424","Timiş",3,"RO",22
"ROZ","EXTRA-REGIO",1,"RO",22
"ROZZ","Extra-Regio",2,"RO",22
"ROZZZ","Extra-Regio",3,"RO",22
"SI","SLOVENIJA",0,"SI",23
"SI0","SLOVENIJA",1,"SI",23
"SI01","Vzhodna Slovenija",2,"SI",23
"SI011","Pomurska",3,"SI",23
"SI012","Podravska",3,"SI",23
"SI013","Koroška",3,"SI",23
"SI014","Savinjska",3,"SI",23
"SI015","Zasavska",3,"SI",23
"SI016","Spodnjeposavska",3,"SI",23
"SI017","Jugovzhodna Slovenija",3,"SI",23
"SI018","Notranjsko-kraška",3,"SI",23
"SI02","Zahodna Slovenija",2,"SI",23
"SI021","Osrednjeslovenska",3,"SI",23
"SI022","Gorenjska",3,"SI",23
"SI023","Goriška",3,"SI",23
"SI024","Obalno-kraška",3,"SI",23
"SIZ","EXTRA-REGIO",1,"SI",23
"SIZZ","Extra-Regio",2,"SI",23
"SIZZZ","Extra-Regio",3,"SI",23
"SK","SLOVENSKÁ REPUBLIKA",0,"SK",24
"SK0","SLOVENSKÁ REPUBLIKA",1,"SK",24
"SK01","Bratislavský kraj",2,"SK",24
"SK010","Bratislavský kraj",3,"SK",24
"SK02","Západné Slovensko",2,"SK",24
"SK021","Trnavský kraj",3,"SK",24
"SK022","Trenčiansky kraj",3,"SK",24
"SK023","Nitriansky kraj",3,"SK",24
"SK03","Stredné Slovensko",2,"SK",24
"SK031","Žilinský kraj",3,"SK",24
"SK032","Banskobystrický kraj",3,"SK",24
"SK04","Východné Slovensko",2,"SK",24
"SK041","Prešovský kraj",3,"SK",24
"SK042","Košický kraj",3,"SK",24
"SKZ","EXTRA-REGIO",1,"SK",24
"SKZZ","Extra-Regio",2,"SK",24
"SKZZZ","Extra-Regio",3,"SK",24
"FI","SUOMI / FINLAND",0,"FI",25
"FI1","MANNER-SUOMI",1,"FI",25
"FI13","Itä-Suomi",2,"FI",25
"FI131","Etelä-Savo",3,"FI",25
"FI132","Pohjois-Savo",3,"FI",25
"FI133","Pohjois-Karjala",3,"FI",25
"FI134","Kainuu",3,"FI",25
"FI18","Etelä-Suomi",2,"FI",25
"FI181","Uusimaa",3,"FI",25
"FI182","Itä-Uusimaa",3,"FI",25
"FI183","Varsinais-Suomi",3,"FI",25
"FI184","Kanta-Häme",3,"FI",25
"FI185","Päijät-Häme",3,"FI",25
"FI186","Kymenlaakso",3,"FI",25
"FI187","Etelä-Karjala",3,"FI",25
"FI19","Länsi-Suomi",2,"FI",25
"FI193","Keski-Suomi",3,"FI",25
"FI194","Etelä-Pohjanmaa",3,"FI",25
"FI195","Pohjanmaa",3,"FI",25
"FI196","Satakunta",3,"FI",25
"FI197","Pirkanmaa",3,"FI",25
"FI1A","Pohjois-Suomi",2,"FI",25
"FI1A1","Keski-Pohjanmaa",3,"FI",25
"FI1A2","Pohjois-Pohjanmaa",3,"FI",25
"FI1A3","Lappi",3,"FI",25
"FI2","ÅLAND",1,"FI",25
"FI20","Åland",2,"FI",25
"FI200","Åland",3,"FI",25
"FIZ","EXTRA-REGIO",1,"FI",25
"FIZZ","Extra-Regio",2,"FI",25
"FIZZZ","Extra-Regio",3,"FI",25
"SE","SVERIGE",0,"SE",26
"SE1","Östra Sverige",1,"SE",26
"SE11","Stockholm",2,"SE",26
"SE110","Stockholms län",3,"SE",26
"SE12","Östra Mellansverige",2,"SE",26
"SE121","Uppsala län",3,"SE",26
"SE122","Södermanlands län",3,"SE",26
"SE123","Östergötlands län",3,"SE",26
"SE124","Örebro län",3,"SE",26
"SE125","Västmanlands län",3,"SE",26
"SE2","Södra Sverige",1,"SE",26
"SE21","Småland med öarna",2,"SE",26
"SE211","Jönköpings län",3,"SE",26
"SE212","Kronobergs län",3,"SE",26
"SE213","Kalmar län",3,"SE",26
"SE214","Gotlands län",3,"SE",26
"SE22","Sydsverige",2,"SE",26
"SE221","Blekinge län",3,"SE",26
"SE224","Skåne län",3,"SE",26
"SE23","Västsverige",2,"SE",26
"SE231","Hallands län",3,"SE",26
"SE232","Västra Götalands län",3,"SE",26
"SE3","Norra Sverige",1,"SE",26
"SE31","Norra Mellansverige",2,"SE",26
"SE311","Värmlands län",3,"SE",26
"SE312","Dalarnas län",3,"SE",26
"SE313","Gävleborgs län",3,"SE",26
"SE32","Mellersta Norrland",2,"SE",26
"SE321","Västernorrlands län",3,"SE",26
"SE322","Jämtlands län",3,"SE",26
"SE33","Övre Norrland",2,"SE",26
"SE331","Västerbottens län",3,"SE",26
"SE332","Norrbottens län",3,"SE",26
"SEZ","EXTRA-REGIO",1,"SE",26
"SEZZ","Extra-Regio",2,"SE",26
"SEZZZ","Extra-Regio",3,"SE",26
"UK","UNITED KINGDOM",0,"UK",27
"UKC","NORTH EAST (ENGLAND)",1,"UK",27
"UKC1","Tees Valley and Durham",2,"UK",27
"UKC11","Hartlepool and Stockton-on-Tees",3,"UK",27
"UKC12","South Teesside",3,"UK",27
"UKC13","Darlington",3,"UK",27
"UKC14","Durham CC",3,"UK",27
"UKC2","Northumberland and Tyne and Wear",2,"UK",27
"UKC21","Northumberland",3,"UK",27
"UKC22","Tyneside",3,"UK",27
"UKC23","Sunderland",3,"UK",27
"UKD","NORTH WEST (ENGLAND)",1,"UK",27
"UKD1","Cumbria",2,"UK",27
"UKD11","West Cumbria",3,"UK",27
"UKD12","East Cumbria",3,"UK",27
"UKD2","Cheshire",2,"UK",27
"UKD21","Halton and Warrington",3,"UK",27
"UKD22","Cheshire CC",3,"UK",27
"UKD3","Greater Manchester",2,"UK",27
"UKD31","Greater Manchester South",3,"UK",27
"UKD32","Greater Manchester North",3,"UK",27
"UKD4","Lancashire",2,"UK",27
"UKD41","Blackburn with Darwen",3,"UK",27
"UKD42","Blackpool",3,"UK",27
"UKD43","Lancashire CC",3,"UK",27
"UKD5","Merseyside",2,"UK",27
"UKD51","East Merseyside",3,"UK",27
"UKD52","Liverpool",3,"UK",27
"UKD53","Sefton",3,"UK",27
"UKD54","Wirral",3,"UK",27
"UKE","YORKSHIRE AND THE HUMBER",1,"UK",27
"UKE1","East Yorkshire and Northern Lincolnshire",2,"UK",27
"UKE11","Kingston upon Hull, City of",3,"UK",27
"UKE12","East Riding of Yorkshire",3,"UK",27
"UKE13","North and North East Lincolnshire",3,"UK",27
"UKE2","North Yorkshire",2,"UK",27
"UKE21","York",3,"UK",27
"UKE22","North Yorkshire CC",3,"UK",27
"UKE3","South Yorkshire",2,"UK",27
"UKE31","Barnsley, Doncaster and Rotherham",3,"UK",27
"UKE32","Sheffield",3,"UK",27
"UKE4","West Yorkshire",2,"UK",27
"UKE41","Bradford",3,"UK",27
"UKE42","Leeds",3,"UK",27
"UKE43","Calderdale, Kirklees and Wakefield",3,"UK",27
"UKF","EAST MIDLANDS (ENGLAND)",1,"UK",27
"UKF1","Derbyshire and Nottinghamshire",2,"UK",27
"UKF11","Derby",3,"UK",27
"UKF12","East Derbyshire",3,"UK",27
"UKF13","South and West Derbyshire",3,"UK",27
"UKF14","Nottingham",3,"UK",27
"UKF15","North Nottinghamshire",3,"UK",27
"UKF16","South Nottinghamshire",3,"UK",27
"UKF2","Leicestershire, Rutland and Northamptonshire",2,"UK",27
"UKF21","Leicester",3,"UK",27
"UKF22","Leicestershire CC and Rutland",3,"UK",27
"UKF23","Northamptonshire",3,"UK",27
"UKF3","Lincolnshire",2,"UK",27
"UKF30","Lincolnshire",3,"UK",27
"UKG","WEST MIDLANDS (ENGLAND)",1,"UK",27
